Name,Old_Price,Special_Price,Save,Material,Cleaning_Process,Pattern,Pile_height,Weight,Origin,Type,Product_Reviews,_id
Decor Desert Warm Sand 092601 Wool Rug by Brink & Campman,479.0,431.1,Save 10,Wool,Easy to clean,Striped,12.0,4500,India,"Handmade , Luxurious , Modern , Striped , Wool",,67062fbef386a3a7f262541a
Spring 438504 Lotus Grey Outdoor Rug by Wedgwood,349.0,314.1,Save 10,Polypropylene,Easy to clean,"Animal , Floral , Nature Print",6.0,1400,,"Luxurious , Modern , Outdoor",,67062fbef386a3a7f262541b
Dandelion Clocks 445807 Botanical Green Outdoor Rug by Sanderson,313.95,251.16,Save 20,Polypropylene,Easy to clean,Floral,6.0,1400,,"Luxurious , Modern , Outdoor",,67062fbef386a3a7f262541c
St James Ceiling 428403 Red House Outdoor Rug by Morris & CO.,299.0,269.1,Save 10,Polypropylene,Easy to clean,Floral,6.0,1400,,"Luxurious , Modern , Outdoor",,67062fbef386a3a7f262541d
Kivi 424906 Sunshine Outdoor Rug by Scion,349.0,314.1,Save 10,Polypropylene,Easy to clean,Abstract,6.0,1400,,"Luxurious , Modern , Outdoor",,67062fbef386a3a7f262541e
Creation G2851 Grey/Multi Rug by Think Rugs,115.99,68.85,Save 41,Polypropylene,Easy to clean,Abstract,8.0,1400,Turkey,"Luxurious , Modern",,67062fbef386a3a7f262541f
Terrace Dragonfly Silver/Grey Outdoor Rug by Rug Style,16.5,11.0,Save 33,Polypropylene,Easy to clean,"Animal , Bordered",15.0,,Turkey,Modern,,67062fbef386a3a7f2625420
Herringbone Outdoor Denim Blue Rug by Hug Rug Woven,,,,Recycled Material,Easy to clean,Striped,5.0,,India,Modern,,67062fbef386a3a7f2625421
Diamond Coral Pink Rug by Hug Rug Woven,,,,Recycled Material,Easy to clean,Geometric,5.0,,India,Modern,,67062fbef386a3a7f2625422
Terrace Spanish Tile Terracotta Outdoor Rug by Rug Style,27.5,19.0,Save 31,Polypropylene,Easy to clean,Geometric,15.0,,,"Modern , Outdoor"," Loved the rug, was just what I was looking for, for my kitchen. Great quality.   |  The Spanish tile terracotta outdoor rug adds a touch of Mediterranean charm to my outdoor space. It's both durable and visually appealing, making it a perfect choice for outdoor settings. ",67062fbef386a3a7f2625423
Solace SLA03 Ivory Grey Blue Rug by Nourison,59.0,45.74,Save 22,"Polyester , Polypropylene",Easy to clean,Abstract,8.0,,Turkey,Modern,,67062fbef386a3a7f2625424
Trellis Outdoor Warm Grey Rug by Hug Rug Woven,,,,Recycled Material,Easy to clean,Geometric,5.0,,India,Modern,,67062fbef386a3a7f2625425
Santa Cruz Citron Outdoor Rug by William Yeoward,687.5,550.0,Save 20,PET,Easy to clean,Striped,,,,"Modern , Outdoor",,67062fbef386a3a7f2625426
Kashqai 4306 100 Traditional Rug By Mastercraft,206.4,156.53,Save 24,Wool,Easy to clean,"Abstract , Bordered",8.5,2611,Belgium,"Luxurious , Traditional , Persian , Wool"," Well wrapped, arrived on time, and very good quality. ",67062fbef386a3a7f2625427
Gabbeh 51 C Oriental Rug By Oriental Weavers,104.99,94.49,Save 10,Polypropylene,Easy to clean,Geometric,11.0,2466,Egypt,Traditional," Excellent company to deal with, great service and beautiful rug, also fantastic price.
 Very pleased and would definitely recommend this company to all 5*****  |  Being a little critical the rug seems to have a minor flaw across the middle of the rug meaning that it appears to be raised but due to the multi coloured pattern after having it down for a few days we find in general we don't see it, its only when we sit down and study the rug that it is noticeable.
My wife thinks it's probably a second. However we like the the rug and will keep it.  |  Speedy delivery and I am delighted with my rug. It is exactly as per the picture and looks great. Would definitely use RugSeller again if I needed another one.  |  Goods delivered really quickly and I was kept updated with delivery details.  |  Delivery was quick and very easy. The rug was just what we wanted and at a reasonable price. We would definitely use the rug shop UK again.  |  Very pleased overall. The rug was delivered well wrapped and on time. Love the rug too, colors as expected from website photograph and just what I needed to brighten up a narrow corridor. Thank you, Rug Shop!  |  A perfectly classy looking rug! Although the delivery was a bit late, customer service was really helpful!   |  Classy design and colour palette! This rug looks perfectly amazing in my living room! Would highly recommend it!  ",67062fbef386a3a7f2625428
Aurora Foam AU21 Rug by Asiatic,89.0,52.8,Save 41,"Polyester , Polypropylene",Easy to clean,Abstract,8.0,2250,Turkey,Modern,,67062fbff386a3a7f2625429
Houndstooth Mustard 455706 Handtufted Outdoor Rug by Ted Baker,265.0,238.5,Save 10,"PET , Recycled Material",Easy to clean,Abstract,11.0,2600,India,"Handmade , Luxurious , Modern",,67062fbff386a3a7f262542a
Think Rugs Vintage 35018 Blue Abstract Bordered Traditional Rug,59.99,35.28,Save 41,Polypropylene,Easy to clean,"Abstract , Bordered",10.0,,Turkey,Traditional,,67062fbff386a3a7f262542b
Asiatic Matrix MAX97 Solstice Navy Striped Hand Tufted Wool Rug,299.0,181.56,Save 39,"Viscose , Wool",Easy to clean,Striped,1214.0,,India,"Handmade , Modern , Wool",,67062fbff386a3a7f262542c
Houndstooth Washed Blue 455708 Handtufted Outdoor Rug by Ted Baker,265.0,238.5,Save 10,"PET , Recycled Material",Easy to clean,Abstract,11.0,2600,India,"Handmade , Luxurious , Modern",,67062fbff386a3a7f262542d
Sanderson Robin’s Wood 146501 Russet Brown  Nature Print Hand Tufted Wool  Rug,495.0,445.5,Save 10,Wool,Easy to clean,Nature Print,17.0,2500,India,"Handmade , Luxurious , Modern , Wool",,67062fbff386a3a7f262542e
Asiatic Kuza Plain Striped Beige Contemporary Polypropylene Rug,79.0,45.6,Save 42,"Polyester , Polypropylene",Easy to clean,"Plain , Striped",11.0,,Turkey,Modern,,67062fbff386a3a7f262542f
Sanderson Robin’s Wood 146508 Forest Green Nature Print Hand Tufted Wool  Rug,495.0,445.5,Save 10,Wool,Easy to clean,Nature Print,17.0,2500,India,"Handmade , Luxurious , Modern , Wool",,67062fbff386a3a7f2625430
Amara AMA105 Bronze Abstract Jute Backing Rug By Concept Looms,69.0,60.0,Save 13,Polyester,Professional Cleaning,Abstract,13.0,,Turkey,Modern,,67062fbff386a3a7f2625431
Sanderson Woodland Glade 146800 Damson Red Floral Hand Tufted Wool Rug,635.0,571.5,Save 10,Wool,Easy to clean,Floral,17.0,25002,India,"Handmade , Luxurious , Modern , Wool",,67062fbff386a3a7f2625432
Sanderson Forest of Dean 146508 Forest Green Floral Hand Tufted Wool Rug,635.0,571.5,Save 10,Wool,Easy to clean,"Animal , Floral",17.0,2500,,"Handmade , Luxurious , Modern , Wool",,67062fbff386a3a7f2625433
Sanderson Woodland Glade 146806 Gold Floral Hand Tufted Wool Rug,635.0,571.5,Save 10,Wool,Easy to clean,Floral,17.0,25002,India,"Handmade , Luxurious , Modern , Wool",,67062fbff386a3a7f2625434
Sanderson Woodland Glade 146801 linen Russet Brown Floral Hand Tufted Wool Rug,635.0,571.5,Save 10,Wool,Easy to clean,Floral,17.0,25002,India,"Handmade , Luxurious , Modern , Wool",,67062fbff386a3a7f2625435
Think Rugs Creation 50200 Pink Blue Modern Multi Textured Super Soft Marbled Rug,115.99,68.85,Save 41,Polypropylene,Easy to clean,Abstract,8.0,1400,Turkey,Modern,,67062fbff386a3a7f2625436
Sanderson Foraging 146618 Indigo Floral Hand Tufted Wool Rug,495.0,445.5,Save 10,Wool,Easy to clean,"Floral , Nature Print",17.0,2500,India,"Handmade , Luxurious , Modern , Wool",,67062fbff386a3a7f2625437
Sanderson Ancient Canopy 146701 Fawn-Olive Green Nature Print Hand Tufted Wool Rug,635.0,571.5,Save 10,"Viscose , Wool",Easy to clean,Nature Print,17.0,2500,India,"Handmade , Luxurious , Modern , Wool",,67062fbff386a3a7f2625438
Tate Silver Wool Rug by Asiatic,369.0,231.54,Save 37,"Viscose , Wool",Easy to clean,Geometric,9.0,4700,India,"Handmade , Luxurious , Modern , Wool",,67062fbff386a3a7f2625439
Sloan Pink Wool Rug by Asiatic,99.0,58.74,Save 41,"Cotton , Wool",Easy to clean,Geometric,4.0,2500,India,"Handmade , Luxurious , Modern , Wool",,67062fbff386a3a7f262543a
Prism Mint Wool Rug by Asiatic,659.0,408.9,Save 38,"Viscose , Acrylic , Cotton , Polyester , Wool",Easy to clean,"Chequered , Geometric",7.0,3200,India,"Handmade , Luxurious , Modern , Wool", I'm loving the refreshing mint wool rug. It adds a pop of color and comfort to my room. ,67062fbff386a3a7f262543b
Gatsby Green Rug by Asiatic,389.0,240.72,Save 38,Viscose,Easy to clean,Abstract,6.0,3100,India,"Handmade , Luxurious , Modern",,67062fbff386a3a7f262543c
Nourison Maxell MAE09 Charcoal Rug,109.0,90.68,Save 17,Polyester,Easy to clean,Geometric,10.0,,China,"Luxurious , Modern",,67062fbff386a3a7f262543d
Think Rugs Hong Kong 3653 Grey/Yellow Rug,185.99,110.5,Save 41,Acrylic,Easy to clean,Geometric,15.0,2200,,Modern, Very attractive rug?Happy with the rug in yellow shade and nice pattern I purchased ,67062fbff386a3a7f262543e
KI25 Malta MAI05 Taupe Rug by Kathy Ireland (,99.0,82.08,Save 17,"Polypropylene , Others",Easy to clean,Floral,,,,"Luxurious , Traditional", Best & simplest packing I have seen for ages. Very quick delivery. ,67062fc0f386a3a7f262543f
Nourison Damask DAS06 Ivory Navy Rug,39.0,33.18,Save 15,"Cotton , Polyester , Others",Easy to clean,Floral,,,,Modern,,67062fc0f386a3a7f2625440
Nourison Passion PSN10 Sunburst Rug,69.0,53.1,Save 23,Polypropylene,Easy to clean,Abstract,10.0,,,"Luxurious , Modern"," Unique look and texture! From order to delivery, The Rug Shop UK handled everything well!   |  Stunning pattern and exquisite texture! The tone is just amazing! Would definitely buy again!   |  Great pattern, amazing texture and stunning colours! The whole ordering experience was brilliant!   |  Amazingly abstract rug! It looks perfect in my living room! Got an amazing offer! Would recommend!   |  High quality, great design and affordable! Got a delayed delivery, but customer service was helpful!   |  Ordered 2 rugs. Order confirmed. Payed. Got a receipt. Delivered as scheduled. Absolutely beautiful. Love them. Very good quality ?? ",67062fc0f386a3a7f2625441
Lulu Charcoal Shaggy Rug by Asiatic,109.0,98.99,Save 9,Polyester,Easy to clean,Plain,37.0,3700,China,"Modern , Plain , Shaggy",,67062fc0f386a3a7f2625442
Carter Grey Wool Rug by Oriental Weavers,93.9,75.12,Save 20,Wool,Easy to clean,Striped,10.0,3214,India,"Handmade , Luxurious , Modern , Striped , Wool", They offer an extensive selection of exquisite rugs. I am very pleased with both my rug and the services provided. ,67062fc0f386a3a7f2625443
Rocks Mix Multi 70405 Rug by Brink & Campman,1229.0,1106.1,Save 10,Wool,Easy to clean,Plain,50.0,5500,Holland,"Luxurious , Modern , Plain , Shaggy , Wool",,67062fc0f386a3a7f2625444
Jute Grey Bordered Rug by Origins,75.0,60.8,Save 19,Natural Fibers,Easy to clean,Bordered,20.0,3000,India,"Handmade , Luxurious , Modern"," Gorgeous, contemporary and cost-effective! Would highly recommend it to anyone, a must have rug!  |  A gorgeous rug with bordered pattern and soft tones! From order to delivery, everything went smooth and hassle free!  |  Alluring look and flat-pile material! The natural colour palette makes it complement my interior décor amazingly!  |  First-class service, and the rug is great. Good product.  |  Stunning bordered look and great material! The customer service and delivery were great! Would definitely buy again!  |  Great quality! Practical! And Affordable! The delivery timing could have been better. Customer Service was good! ",67062fc0f386a3a7f2625445
Bokhara Red Traditional Wool Rug by Asiatic,149.0,90.72,Save 39,Wool,Easy to clean,"Bordered , Floral",7.0,,Pakistan,"Handmade , Traditional , Wool"," the item I received was not to my expectations.
return was easy but at my own expense.  |  Prompt delivery and excellent product. Very pleased with both and the cost was very competitive. ",67062fc0f386a3a7f2625446
Amalfi 094 - 0010 3001 - 96 Traditional Rug by Mastercraft,104.4,79.54,Save 24,"Viscose , Cotton , Polyester",Easy to clean,"Floral , Geometric",3.0,1683,Belgium,"Luxurious , Traditional",,67062fc0f386a3a7f2625447
Carter Natural Wool Rug by Oriental Weavers,93.9,75.12,Save 20,Wool,Easy to clean,Striped,10.0,3214,India,"Handmade , Modern , Striped , Wool"," Beautiful rug, helpful company and quick delivery. I would definitely order from them again. ",67062fc0f386a3a7f2625448
Think Rugs Portofino M289 Ivory/Grey Rug,107.99,64.18,Save 41,Polypropylene,Easy to clean,Abstract,50.0,1800,,Modern,,67062fc0f386a3a7f2625449
Vista 3547 Silver Plain Shaggy Rug by Think Rugs,58.99,34.85,Save 41,Polypropylene,Easy to clean,Plain,,,,"Modern , Plain , Shaggy"," Affordable, soft and easy to maintain! The product quality is just amazing! Got an amazing deal on this one!  |  Extremely lush and exquisite! The Whole ordering experience was great! A must have.   |  Gorgeous, shaggy and affordable! Looks amazing in my bedroom! Would definitely buy again!  |  This shaggy rug is a must-have! The Rug Shop UK expertly handled every aspect, from order to delivery.  |  Luxurious, Sumptuous, and high-quality! The customer service and delivery were great! – One Happy Customer! ",67062fc0f386a3a7f262544a
Fusion Fossil Wool Rug by Rug Guru,175.0,143.0,Save 18,Wool,Easy to clean,Plain,30.0,3500,India,"Handmade , Luxurious , Modern , Plain , Shaggy , Wool", My rug delivered within 2 days. Quality was superb with no defect. ,67062fc0f386a3a7f262544b
Noble House NH8199 Grey/Yellow Rug by Think Rugs,193.99,115.6,Save 40,"Acrylic , Polyester",Easy to clean,"Abstract , Optical/ (3D)",40.0,2800,,"Handmade , Modern , Shaggy", Love my new rug. The color and the quality are great just what I wanted So thick and soft?Would buy more  |  Ordered my rug and it arrived within a few days with a 24 hour courier. I was really happy with it and would purchase from The Rug Shop again ,67062fc0f386a3a7f262544c
Elements EL-61 Yellow Wool Rug By Think Rugs,292.99,174.25,Save 41,Wool,Easy to clean,Abstract,15.0,2500,,"Handmade , Luxurious , Modern , Wool",,67062fc0f386a3a7f262544d
Delano Rose Plain Rug by Origins,108.99,39.5,Save 64,Viscose,,Plain,25.0,2600,India,"Handmade , Modern , Plain",,67062fc0f386a3a7f262544e
Borders Duck Egg Wool Rug By Origins,80.0,65.0,Save 19,Wool,Easy to clean,Bordered,25.0,1600,India,"Modern , Wool"," From finding the Rug Shop.  Looking at their great in stock rugs, especially in the colour I was looking for I found the whole process very straight forward. After paying for my purchase the company kept in touch with me.  Thanking me  for buying from them. Expected date of free delivery etc.  I would buy from this company again, and would recommend it to a friend.
  |  Contemporary design with stunning texture! It’s really soft and of high-quality! The whole ordering experience was great!   |  The rug was as described. It was delivered very quickly and the  purchase process was straight forward. I would recommend The Rug Shop UK.  |  Brilliantly elegant pattern with soft pile! From order to delivery, everything was satisfactory!   |  A contemporary looking with bordered pattern! The material is really comfortable and soft! Would definitely buy again!   |  I went for a wool rug in duck egg blue, and it's such a cozy choice. The color is soothing, and the quality is topnotch. It adds a touch of comfort to my decor.  |  Soft pile, bordered pattern and high-quality! Both customer service and delivery were top-notch!   |  Amazingly soft rug with subtle design and comfortable pile! Had a delay in delivery, but really happy with the product!  ",67062fc0f386a3a7f262544f
Brighton 098 0570 3036 96 Rug By Mastercraft,57.6,43.34,Save 25,Polypropylene,Easy to clean,"Plain , Striped",5.0,1247,Belgium,"Modern , Outdoor , Striped",,67062fc0f386a3a7f2625450
Mad Men Jacob's Ladder 8927 Tribeca Blue Rug by Louis De Poortere,175.0,157.5,Save 10,"Cotton , Polyester",Easy to clean,Geometric,3.0,1500,Belgium,Wool,,67062fc0f386a3a7f2625451
Think Rugs Montana Red Plain Shaggy Rug,76.99,44.48,Save 42,"Acrylic , Polyester",Easy to clean,Plain,80.0,4500,,"Handmade , Modern , Shaggy"," Was looking for a particular rug, had the same and high prices as compared to them. What made me choose this company is the less delivery time. ",67062fc0f386a3a7f2625452
Amelie AM08 Harlequin Geometric Rug by Asiatic,59.0,34.8,Save 41,Polypropylene,Easy to clean,"Geometric , Graphics",7.0,1600,Turkey,Modern,,67062fc0f386a3a7f2625453
Cozumel CZM01 Light Grey Rug by Nourison,50.0,39.78,Save 20,Polypropylene,Easy to clean,"Abstract , Optical/ (3D)",10.0,,,"Modern , Outdoor",,67062fc0f386a3a7f2625454
Sloan Marsala Geometric Rug By Asiatic,99.0,58.74,Save 41,"Cotton , Wool",Easy to clean,Geometric,4.0,2500,India,"Handmade , Modern , Wool"," Very professional, great rug at a reasonable price so easily recommended. Thank you. ",67062fc0f386a3a7f2625455
Tangra TNR03 Grey Multicoloured Abstract Rug by Nourison,89.0,69.52,Save 22,"Polyester , Polypropylene",Easy to clean,Abstract,8.0,,,Modern,,67062fc1f386a3a7f2625456
Cashmere 5567 Terra Traditional Rug by HMC,60.5,44.0,Save 27,Polyester,Easy to clean,"Bordered , Floral",15.0,,,Traditional,,67062fc1f386a3a7f2625457
Canyon 052 - 0047 5555 Black Striped Contemporary Rug by Mastercraft,333.6,253.12,Save 24,"Polyester , Polypropylene",Easy to clean,"Geometric , Striped",11.0,3145,Belgium,"Luxurious , Modern , Striped",,67062fc1f386a3a7f2625458
Homestead HMS01 Brick Traditional Rug by Nourison,119.0,99.36,Save 17,Polyester,Easy to clean,"Bordered , Geometric",6.0,1988,,Traditional,,67062fc1f386a3a7f2625459
Geo 041 - 0009 7131 Grey Contemporary Rug by Mastercraft,86.4,65.67,Save 24,"Polyester , Polypropylene",Easy to clean,Geometric,9.0,2657,Belgium,Modern,,67062fc1f386a3a7f262545a
Meriel Citron Abstract Rug by William Yeoward,2818.75,2255.0,Save 20,Wool,Easy to clean,Abstract,,,,"Handmade , Luxurious , Modern , Wool",,67062fc1f386a3a7f262545b
